tweet_id,retweet_count,favourite_count
813217897535406080,8265,20459
813202720496779264,2041,10052
813187593374461952,4948,21726
813172488309972993,2179,10232
813157409116065792,2511,8471
813142292504645637,2669,9212
813130366689148928,500,4890
813127251579564032,3562,13029
813112105746448384,3140,11328
813096984823349248,4110,11518
813081950185472002,3140,10823
813066809284972545,2207,8721
813051746834595840,8303,22959
812781120811126785,2163,8282
812747805718642688,7897,0
812709060537683968,1628,7259
812503143955202048,1391,6675
812466873996607488,2184,8768
812372279581671427,4165,14999
811985624773361665,1593,7971
811744202451197953,1831,8277
811647686436880384,842,6111
811627233043480576,3559,14045
811386762094317568,7255,22924
810984652412424192,1623,5847
810896069567610880,2034,9935
810657578271330305,2996,12019
810284430598270976,13009,38950
810254108431155201,3810,16121
809920764300447744,4428,16982
809808892968534016,5574,0
809448704142938112,1666,7601
809220051211603969,6388,21886
809084759137812480,3976,14473
808838249661788160,3448,11080
808733504066486276,2452,8666
808501579447930884,2939,12389
808344865868283904,23526,46606
808134635716833280,6787,0
808106460588765185,2470,9569
808001312164028416,4006,13795
807621403335917568,4181,16009
807106840509214720,61611,123537
807059379405148160,8323,0
807010152071229440,4330,14303
806629075125202948,39789,82690
806620845233815552,6271,0
806576416489959424,2189,5300
806542213899489280,2700,11208
806242860592926720,13285,0
806219024703037440,1365,7040
805958939288408065,6100,0
805932879469572096,2155,9076
805826884734976000,2079,7224
805823200554876929,9164,0
805520635690676224,1877,6289
805487436403003392,2870,9614
805207613751304193,1927,8543
804738756058218496,4373,15113
804475857670639616,2293,6766
804413760345620481,3647,0
804026241225523202,18438,49022
803773340896923648,3146,11043
803692223237865472,8473,0
803638050916102144,4709,12056
803380650405482500,2118,8493
803321560782307329,6073,0
803276597545603072,2808,11034
802952499103731712,2277,9924
802624713319034886,3327,0
802600418706604034,1669,7827
802572683846291456,2854,9822
802323869084381190,6652,17851
802265048156610565,1546,6971
802239329049477120,2958,9962
802185808107208704,306,0
801958328846974976,1941,8478
801854953262350336,264,1932
801538201127157760,2341,8997
801285448605831168,941,6671
801167903437357056,6787,26968
801127390143516673,4524,0
801115127852503040,2367,8870
800859414831898624,111,764
800855607700029440,1850,0
800751577355128832,3149,11538
800513324630806528,3422,14456
800459316964663297,2434,10383
800443802682937345,4925,0
800388270626521089,3183,12262
800188575492947969,4475,0
800141422401830912,2914,16824
800018252395122689,15004,31257
799774291445383169,5349,0
799757965289017345,2457,9250
799422933579902976,2169,8843
799308762079035393,6316,0
799297110730567681,3162,10897
799063482566066176,2796,8903
798933969379225600,5093,14494
798925684722855936,1634,8155
798705661114773508,7527,0
798701998996647937,8898,0
798697898615730177,7422,0
798694562394996736,5673,0
798686750113755136,2640,0
798682547630837760,5399,0
798673117451325440,6340,0
798665375516884993,4428,0
798644042770751489,2105,0
798628517273620480,2230,0
798585098161549313,6500,0
798576900688019456,6714,0
798340744599797760,3830,0
798209839306514432,2898,11390
797971864723324932,3576,12823
797545162159308800,5511,15966
797236660651966464,7543,22001
797165961484890113,32,254
796904159865868288,10164,0
796865951799083009,2155,8435
796759840936919040,3488,13065
796563435802726400,8337,0
796484825502875648,2004,8341
796387464403357696,4737,12130
796177847564038144,16276,0
796149749086875649,16276,35633
796125600683540480,2033,5441
796116448414461957,2752,9995
796080075804475393,2629,9300
796031486298386433,4202,11884
795464331001561088,27112,54864
795400264262053889,3256,11116
795076730285391872,6166,17860
794983741416415232,3837,0
794926597468000259,2636,11311
794355576146903043,11735,0
794332329137291264,3011,10517
794205286408003585,3792,10138
793962221541933056,5574,18551
793845145112371200,2135,10136
793614319594401792,3569,0
793601777308463104,1860,8781
793500921481273345,2714,11773
793286476301799424,10459,27134
793271401113350145,2686,9506
793256262322548741,9474,22010
793241302385262592,3731,11598
793226087023144960,3258,10822
793210959003287553,3219,9834
793195938047070209,6388,16805
793180763617361921,2253,7612
793165685325201412,3171,10350
793150605191548928,1949,6790
793135492858580992,2828,7104
793120401413079041,4443,13965
792913359805018113,4583,15801
792883833364439040,4862,12459
792773781206999040,1917,8078
792394556390137856,4881,14868
792050063153438720,2037,7911
791821351946420224,23945,0
791784077045166082,11002,0
791780927877898241,4328,0
791774931465953280,25294,49608
791672322847637504,3569,12936
791406955684368384,4676,14444
791312159183634433,2892,9681
791026214425268224,4697,0
790987426131050500,2425,10913
790946055508652032,5355,18281
790723298204217344,2639,0
790698755171364864,2162,9029
790581949425475584,8144,22765
790337589677002753,2124,8621
790277117346975746,3659,13829
790227638568808452,4078,0
789986466051088384,2639,10208
789960241177853952,4736,0
789903600034189313,4708,11440
789628658055020548,2026,8304
789599242079838210,2204,7481
789530877013393408,3837,12955
789314372632018944,2616,9477
789280767834746880,5617,0
789268448748703744,2948,10042
789137962068021249,3174,10685
788908386943430656,14116,30142
788765914992902144,11735,30211
788552643979468800,8217,0
788412144018661376,6041,17180
788178268662984705,2430,7969
788150585577050112,1483,6768
788070120937619456,3876,0
788039637453406209,1501,6755
787810552592695296,3472,9560
787717603741622272,3164,11243
787397959788929025,3219,11926
787322443945877504,1986,8582
787111942498508800,7611,0
786963064373534720,9111,29221
786729988674449408,2750,0
786709082849828864,6911,19980
786664955043049472,2922,11751
786595970293370880,3521,10343
786363235746385920,3978,11994
786286427768250368,3259,8784
786233965241827333,5441,16875
786051337297522688,176,1585
786036967502913536,8020,0
785927819176054784,3579,12506
785872687017132033,2071,7353
785639753186217984,2510,8588
785533386513321988,2283,10026
785515384317313025,1436,6702
785264754247995392,1863,7998
785170936622350336,5523,13296
784826020293709826,3647,11153
784517518371221505,2879,9871
784431430411685888,1449,6238
784183165795655680,9164,22131
784057939640352768,12679,32906
783839966405230592,12297,33080
783821107061198850,2225,8088
783695101801398276,3649,11470
783466772167098368,2556,9311
783391753726550016,6269,18575
783347506784731136,6376,0
783334639985389568,13285,32126
783085703974514689,2507,8949
782969140009107456,8323,26509
782747134529531904,1575,8187
782722598790725632,6100,18947
782598640137187329,2138,8567
782305867769217024,6311,18319
782021823840026624,7087,0
781955203444699136,3817,12181
781661882474196992,3073,11447
781655249211752448,1263,4394
781524693396357120,6271,22797
781308096455073793,2887,7834
781251288990355457,2385,9278
781163403222056960,3087,10713
780931614150983680,8337,23754
780858289093574656,2259,7896
780800785462489090,1470,6056
780601303617732608,3763,13279
780543529827336192,1967,6924
780496263422808064,4215,0
780476555013349377,134,0
780459368902959104,1202,5796
780192070812196864,2532,9561
780092040432480260,2604,0
780074436359819264,5665,13463
779834332596887552,8020,20906
779377524342161408,3529,9684
779124354206535695,20820,0
779123168116150273,4121,12955
779056095788752897,5115,16224
778990705243029504,8247,21962
778774459159379968,11265,0
778764940568104960,413,941
778748913645780993,1517,7570
778650543019483137,1692,6339
778624900596654080,1142,5104
778408200802557953,4912,14925
778396591732486144,13866,0
778383385161035776,1247,6413
778286810187399168,3746,11376
778039087836069888,2988,9294
778027034220126208,1837,7197
777953400541634568,3981,0
777885040357281792,1857,6968
777684233540206592,3327,12317
777641927919427584,4818,0
777621514455814149,2820,9590
777189768882946048,4890,15686
776819012571455488,15495,0
776813020089548800,1369,5354
776477788987613185,3165,9716
776249906839351296,10375,0
776218204058357768,18049,32824
776201521193218049,2841,10510
776113305656188928,4925,12881
776088319444877312,172,2008
775898661951791106,17481,0
775842724423557120,3031,12814
775733305207554048,4524,15171
775729183532220416,5185,14137
775364825476165632,3375,8164
775350846108426240,4428,11121
775085132600442880,5349,17018
774757898236878852,1987,9335
774639387460112384,1963,7370
774314403806253056,6316,23823
773985732834758656,4379,11748
773922284943896577,1951,6995
773704687002451968,1842,7203
773670353721753600,1464,5837
773547596996571136,6965,24123
773336787167145985,5768,0
773308824254029826,8448,25389
773247561583001600,3614,10244
773191612633579521,4627,10922
772877495989305348,4388,9391
772826264096874500,2613,8716
772615324260794368,3807,0
772581559778025472,1917,7083
772193107915964416,1566,6566
772152991789019136,1267,4121
772117678702071809,824,4095
772114945936949249,530,2964
772102971039580160,1045,4380
771908950375665664,2129,7184
