,company,Product Density Score,Requests Density Score,Match Count
256,SERDAROGLU GRUBU A.Ş.,0.0,0.0,0
257,Brenntag UK and Scandinavia,0.09734513274336283,36.52212389380531,11
258,A. + E. Fischer-Chemie GmbH Co. KG,0.23809523809523808,100.78571428571429,20
259,LEPID LIFE SCIENCES PVT LTD,0.0,0.0,0
260,20 Microns Limited,0.0,0.0,0
261,Chirag Enterprise,0.0,0.0,0
262,ÇİFTÇİLER YAĞ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,0.0,0.0,0
263,Aditya Soyatech,0.0,0.0,0
264,Khandelwal Orgosol Pvt. Ltd.,1.0,370.0,1
265,VN - UNITEK JSC,0.0,0.0,0
266,NAVSCAPE INTERMED,0.6666666666666666,400.3333333333333,2
267,Para Food,0.0,0.0,0
268,STENFY CHEM,0.0,0.0,0
269,Kowa Europe GmbH,0.010416666666666666,4.045138888888889,3
270,Pentagon chemicals,0.1875,103.8125,3
271,Molekula GmbH,0.006923837784371909,2.799950544015826,28
272,ARIIX PRODUCTS INDIA PVT LTD,0.0,0.0,0
273,CONSTAB Polyolefin Additives GmbH,0.25,96.5,1
274,Dynasty Industries,0.0,0.0,0
275,DR. SILVIU PHARMACHEM PVT.LTD,0.0,0.0,0
276,Stea s.r.l.,0.21621621621621623,83.70270270270271,8
277,SEMKIM Boya ve Kimyevi Mad. San. Tic. Ltd. Şti.,0.0,0.0,0
278,Jay Intermediates And Chemicals,0.0,0.0,0
279,ATUL RUBBER PROCESSORS PVT LTD,0.0,0.0,0
280,M/s. Pacific Texchem Pvt Ltd,0.0,0.0,0
281,Chemispec,0.0,0.0,0
282,Kanami d.o.o,0.6666666666666666,425.0,2
283,ELEMENT ENTERPRISES,0.0,0.0,0
284,LEFA TEMSILCILIK,0.0,0.0,0
285,OQ Chemicals GmbH,0.03333333333333333,10.233333333333333,1
286,Artigum GmbH,0.03508771929824561,12.596491228070175,2
287,"NAM PHONG INDUSTRY CO., LTD",0.0,0.0,0
288,Kempro Kimyasal Mad. ve Dis. Tic. A.S.,0.0,0.0,0
289,ULIX Innovation,0.0,0.0,0
290,Median Tax Deed LLC,0.3333333333333333,122.0,1
291,Atic Kimya,0.0,0.0,0
292,VASISTA PHARMA CHEM PRIVATE LIMITED,0.0,0.0,0
293,"CIMAI - Engenharia e Química Avançada, Unipessoal Lda",1.0,458.5,2
294,Parv Industries,1.0,437.0,1
295,Kuraray Europe GmbH,0.0,0.0,0
296,ProChem Solutions,0.0,0.0,0
297,Sunrise Enterprise,0.0,0.0,0
298,Erlon Sp. z o.o. sk.,0.0,0.0,0
299,Reinert,0.0,0.0,0
300,GEOHELLAS S.A,0.0,0.0,0
301,Evonik,0.2,73.2,1
302,Stereokem,0.0,0.0,0
303,Nishant Organics Pvt. Ltd.,0.0,0.0,0
304,OCSiAl,0.0,0.0,0
305,Rubamin Private Limited,0.0,0.0,0
306,BARCHEMICALS s.r.l,0.0,0.0,0
307,LAPASSE ADDITIVES CHEMICALS,0.0,0.0,0
308,Bioinagro srl,0.0,0.0,0
309,Karl Zimmermann GmbH,0.0,0.0,0
310,DOGA BIOTECH,0.0,0.0,0
311,MABAYCO ENDÜSTRİYEL ÜRÜNLER LTD. ŞTİ.,0.0,0.0,0
312,Crafted Spirits,1.0,637.5,2
313,Cortex Organics,0.0,0.0,0
314,LBI oil free GmbH,0.0,0.0,0
315,GASES RESEARCH INNOVATION AND TECHNOLOGY,0.6666666666666666,199.33333333333334,2
316,PROLIFE BIO-CHEMICAL INDUSTRIES,0.0,0.0,0
317,"Cosutin Industrial Co., Limited",0.0,0.0,0
318,Mayantu,0.0,0.0,0
319,BIOPREMIUM KFT,0.0,0.0,0
320,Echemi Solutions GmbH,0.024,14.736,3
321,Lidorr Elements,0.0,0.0,0
322,LG Hemija d.o.o.,0.14285714285714285,55.142857142857146,1
323,"Polymer Loop, S.L.",0.0,0.0,0
324,SERKİM REÇİNE KİMYA SAN. TİC. İTH. İHR. LTD. STİ.,0.0,0.0,0
325,Himipex Oil,0.5,112.0,1
326,Asal Boya Kimya San. Tic Ltd Sti,0.0,0.0,0
327,HSH-Chemie Serbia,0.0,0.0,0
328,"Medir Ferrer y CIA, S.A.",0.0,0.0,0
329,Röhm GmbH,0.0,0.0,0
330,Radix Conia Makina Techizat Otomotiv Gida Ith. Ihr. San. Tic. LTD. STI,0.0,0.0,0
331,Best Ticaret Sanayi İthalat İhracat,0.0,0.0,0
332,ALCON CIA DE ALCOOL CONCEICAO DA BARRA,1.0,480.0,1
333,Onyx Oil Ltd,1.0,795.0,1
334,Intumescent Chemcials,1.0,795.0,1
335,Chemos GmbH & Co.KG,0.16666666666666666,111.66666666666667,2
336,Chemische Fabrik Budenheim KG,0.0,0.0,0
337,STOCKMEIER CHEMICALS BELUX N.V.,0.25396825396825395,106.52380952380952,16
338,STERA CHEMICALS SRL,0.3333333333333333,171.26666666666668,5
339,"Cales de Llierca, S.A.",0.16666666666666666,64.33333333333333,1
340,Metalimex a.s.,0.0,0.0,0
341,"G&C Colors, S.A.",0.0,0.0,0
342,Carus Europe,0.0,0.0,0
343,Shanpar Industries Pvt Ltd.,0.0,0.0,0
344,Sino-Aluminas Ltd,0.0,0.0,0
345,NANOVISION,0.0,0.0,0
346,Tradebe Chemicals,0.3235294117647059,123.8529411764706,11
347,Lapointe Gıda İth. İhr. ve Tic. Ltd. Şti.,1.0,483.5,2
348,Remet UK LTD,0.0,0.0,0
349,R-PLASTIND ROCN SRL,0.0,0.0,0
350,Bayegan,0.3333333333333333,125.97435897435898,13
351,Lebon,0.38461538461538464,208.6153846153846,5
352,RBH LTD,0.07894736842105263,39.6578947368421,3
353,CSC Jäklechemie,1.0,234.0,1
354,chemiekontor.de,0.1875,80.75,3
355,Indusun Drilling Fluids Private Limited,0.0,0.0,0
356,4CR International GmbH & CO KG,0.11428571428571428,37.82857142857143,4
357,peri kimya,0.3829787234042553,163.4255319148936,18
358,EKLINGJEE POLYMERS PVT. LTD.,0.07142857142857142,27.571428571428573,1
359,CFI World,0.6666666666666666,393.6666666666667,2
360,Siliconi commerciale Spa,0.0,0.0,0
361,Kolon Industries,0.0,0.0,0
362,seven deuce trading GmbH,0.5,240.0,1
363,KSAN SIA,0.4444444444444444,177.22222222222223,4
364,Evonik Coating Additives,0.0,0.0,0
365,Toliman OY,1.0,795.0,1
366,IMPAG Import GmbH,0.018518518518518517,5.7407407407407405,2
367,"OOO ""IRRC Fragmit""",0.0,0.0,0
368,Five Star General S.L.,0.3333333333333333,123.33333333333333,1
369,KTM KİMYEVİ MADDELER İTHALAT İHRACAT SAN. VE TİC. A.S.,0.21212121212121213,86.78787878787878,14
370,Sauradip Chemical Industries Pvt. Ltd.,0.0,0.0,0
371,DKSH,0.2,77.2,1
372,Fagron sp. z o.o,1.0,600.5,2
373,Lansin,1.0,637.5,2
374,Wilh. Willumsen AS,0.0,0.0,0
375,Auxicolor S.L. (Grupo UNITS),0.0,0.0,0
376,Bhageria Industries Limited,0.0,0.0,0
377,Performance Lubricants,0.19047619047619047,86.47619047619048,4
378,Sunsmit Dyechem Pvt Ltd,0.0,0.0,0
379,Mitsui & Co. Deutschland GmbH,0.3,153.8,3
380,C&G Pigment Europe GmbH,0.0,0.0,0
381,Kimteks Kimya Tekstil ürünleri Tic. A.S.,0.125,48.25,1
382,Anex by Interplast Kimya San. ve Tic. A.S.,0.0,0.0,0
383,ChiraSol GmbH,0.0,0.0,0
384,Aryan Chemicals Private Limited,0.0,0.0,0
385,GOLDEN WAY İNTERNATİONAL İTHALAT İHRACAT VE İŞDANIŞMANLIĞI LİMİTED ŞİRKETİ,0.5,255.4,5
386,Unicell Poland,0.0,0.0,0
387,Petrovlis Chemicals,0.0,0.0,0
388,CANTON LABORATORIES PVT. LTD,0.0425531914893617,16.95744680851064,6
389,Chiyuen International Trading Limited,0.0,0.0,0
390,ProComm Chemicals Ltd,0.6153846153846154,263.53846153846155,8
391,MINE COLOURS,0.0,0.0,0
392,Dinesh Fabricated Mica Works,0.0,0.0,0
393,EXPOQUIMXEL – INDÚSTRIA DE PRODUTOS QUÍMICOS LDA,0.30303030303030304,143.6969696969697,10
394,SP ENTERPRISES,0.0,0.0,0
395,ACSCHEM Pte Ltd,0.0,0.0,0
396,ma.gi.co. srl,0.0,0.0,0
397,Sarna Chemicals Pvt Ltd,0.0,0.0,0
398,Suwarna Industries,0.0,0.0,0
399,SINTEZA SA,0.0,0.0,0
400,Georges S Daras,0.0,0.0,0
401,GenoSynth GmbH,0.0,0.0,0
402,Quality Quartz,0.0,0.0,0
403,INTER-HEM DOO,0.2916666666666667,116.5625,14
404,Ascot International (1996) Ltd.,0.014492753623188406,3.1594202898550723,1
405,Pexa Ltd,0.0,0.0,0
406,Midas Pharma GmbH,0.09090909090909091,72.27272727272727,1
407,FREE FLUID LTD,1.0,480.0,1
408,Химпищеаромат (Khimpishchearomat LLC),0.25,120.0,1
409,Leena Organics Pvt Ltd,0.2,46.2,1
410,ALTIN ATES KIMYA ANONIM SIRKETI,0.0,0.0,0
411,Addi-tec Ltd,0.06451612903225806,27.693548387096776,4
412,Unitrade Corporation,0.5,193.0,1
413,AMF Life,0.0,0.0,0
414,"MINERALS RESOURCES - DEVELOPMENT, S.A.",0.0,0.0,0
415,POLARIS ORES,0.0,0.0,0
416,Detonovo Foods,0.0,0.0,0
417,Khushi Dyechem,0.0,0.0,0
418,UDO Mining,0.0,0.0,0
419,Earth Enterprises,0.0,0.0,0
420,Asianol Lubricants Ltd,0.0,0.0,0
421,Narsipur Chemicals Pvt ltd,0.0,0.0,0
422,Prakash Chemicals Europe B.V.,0.2,86.96363636363637,11
423,Silvaco A/S,0.0,0.0,0
424,Wembley Chemicals and Supplies LTD,0.25,71.25,2
425,Polytrade Global GmbH,0.0,0.0,0
426,SAFIC-ALCAN RUS,0.0,0.0,0
427,Cosmetica Bolognese,0.0,0.0,0
428,Polichem Trade Kimya Turkey,0.0,0.0,0
429,Polymer Corp LLC,0.0,0.0,0
430,MRV Mineral- und Rohstoffvertrieb GmbH,0.6363636363636364,275.90909090909093,7
431,Samyang Biophamraceuticals Corp.,0.0,0.0,0
432,JSC Karpov Chemical Plant,0.0,0.0,0
433,MADKIM MADEN VE KIMYA SAN. VE TİC. LTD. STI.,0.0,0.0,0
434,TERRAZO DE MEXICO,0.0,0.0,0
435,"Handan Shijia Chemical Technology Co.,ltd",0.0,0.0,0
436,Anshika Polysurf Limited,0.0,0.0,0
437,"Tuan Tsuki Vietnam Co.,Ltd",0.0,0.0,0
438,Kaustik Europe B.V.,0.16666666666666666,118.33333333333333,1
439,B.K.M. DANISMANLIK VE SOSYAL HIZMETLER TEKSTIL SANAYI TLS,0.23529411764705882,167.94117647058823,4
440,Primma Pharma Chem,0.0,0.0,0
441,"HELIOS TBLUS, d.o.o.",0.0,0.0,0
442,Mansur Global AB,0.0,0.0,0
443,Rain Carbon Germany GmbH,0.0,0.0,0
444,Rebain International (NL) B.V.,0.2109375,85.4609375,27
445,MARFRAN®,0.0,0.0,0
446,MEHTA OIL INDUSTRIES,0.0,0.0,0
447,PT.GLOBAL CHEMINDO INTERNASIONAL,0.0,0.0,0
448,Reys Portugal,0.29411764705882354,143.11764705882354,5
449,MUDRA ENTERPRISES,0.0,0.0,0
450,YUSHUN NEW MATERIALS,0.0,0.0,0
451,"SwiSS-9, GmbH",0.0,0.0,0
452,SEABERT CHEMICALS PVT LTD,0.0,0.0,0
453,CHMEO TRADING PVT LTD,0.14545454545454545,63.09090909090909,8
454,Paramount Enterprises,0.0,0.0,0
455,Healthguard Hygiene Limited,1.0,480.0,1
456,GUJARAT MULTI GAS BASE CHEMICALS PVT. LTD.,0.0,0.0,0
457,Simon Pars,0.0,0.0,0
458,Arham Petrochem,0.3333333333333333,112.0,1
459,NanoScientifica Scandinavia AB,0.0,0.0,0
460,UAB Parchemika,0.16666666666666666,90.83333333333333,1
461,BEL Sp. z o.o,0.25,120.0,1
462,Nuvola İç ve Dış Ticaret,0.0,0.0,0
463,QMEA Chemical Solutions,0.03333333333333333,7.733333333333333,1
464,"Jinan Huashihang Chemical Co., Ltd",0.0,0.0,0
465,Jivika Chem International LLP,0.0,0.0,0
466,Avanzare Innovación Tecnológica S.L.,0.0,0.0,0
467,Belchem Industries (India) Pvt. Ltd.,0.0,0.0,0
468,EURIKAS BV,0.0,0.0,0
469,Tiara Development,0.0,0.0,0
470,VIO Chemicals,0.0,0.0,0
471,VIO AG PHARMACEUTICALS,0.0,0.0,0
472,"TOROZA QUIMICA, S.A. DE C.V.",0.0,0.0,0
473,Blackburn Chemicals Limited,0.0,0.0,0
474,VALEX GROUP LLC,0.0,0.0,0
475,Dr. Jet Health Advance Trading,1.0,545.0,1
476,Innoract,0.0,0.0,0
477,"JINWOO TRADING CO., LTD.",0.0,0.0,0
478,Chem-Pros Net,0.0,0.0,0
479,Test Supplier company,0.0,0.0,0
480,Integral Petroleum SA,0.0,0.0,0
481,JSC South Urals Magnesium Compounds plant,0.0,0.0,0
482,J.M.D. Enterprises,0.0,0.0,0
483,BRMMARKETING BRMESSENTIALOILS,0.0,0.0,0
484,Atul Europe Ltd,0.1,71.0,1
485,Pidilite Industries Limited,0.0,0.0,0
486,PROREUSE SRLS,0.0,0.0,0
487,ZAR DYECHEM,0.0,0.0,0
488,Sorbead India,0.0,0.0,0
489,Centro-Chem,0.11392405063291139,46.86497890295359,27
