company_mart.name,company_mart.deleted_week,company_mart.registration_week,company_mart.account_type
deleted_test397,2020-08-31,2018-11-26,Buyer
deleted_zetacom.tv,2020-08-31,2018-11-26,Buyer
deleted_Elite Ambiente Srl,2020-08-31,2018-12-03,Buyer
deleted_delete_Drogas Vigo Group,2020-08-31,2018-12-03,Buyer
deleted_test429,2020-08-31,2018-12-03,Buyer
deleted_Deepak Fertiliser And Petrochemicals Corporation Limited,2020-08-31,2018-12-03,Buyer
deleted_Coswell,2020-08-31,2018-12-03,Buyer
deleted_MAQLAVAND,2020-08-31,2018-12-03,Buyer
deleted_bvba dr. Jan Beunk Cardioloog Urgentiearts,2020-08-31,2018-12-03,Buyer
AmphoChem AB,,2018-12-03,Buyer
Exun Biocell Pvt Ltd,,2018-12-03,Buyer
deleted_Impress Surfaces GmbH,2022-01-03,2018-12-03,Buyer
deleted_delete_Arpadis,2021-01-18,2018-12-03,Buyer
deleted_Schmidt GmbH,2020-08-31,2018-12-03,Buyer
deleted_libella srl,2020-08-31,2018-12-03,Buyer
Ffchemicals,,2018-12-03,Buyer
Jorenku A/S,,2018-12-03,Buyer
Kimya asrl,,2018-12-03,Buyer
turboden spa,,2018-12-03,Buyer
deleted_FAKHEUR,2020-08-31,2018-12-03,Buyer
deleted_Estudio El Gallinero,2020-08-31,2018-12-10,Buyer
Wimos GmbH,,2018-12-10,Buyer
Tutor S.R.L.,,2018-12-10,Buyer
SureSet UK Ltd.,,2018-12-10,Buyer
Silco D.O.O.,,2018-12-10,Buyer
SHR Germany GmbH,,2018-12-10,Buyer
Becker Farby Przemysłowe Sp. Z O.O,,2018-12-10,Buyer
Anjani Ceramics,,2018-12-10,Buyer
deleted_Aliaxis,2020-08-31,2018-12-10,Buyer
deleted_Chemondis,2020-08-31,2018-12-10,Buyer
deleted_PETER / LACKE GmbH,2020-08-31,2018-12-10,Buyer
ADVENT DYES AND CHEMICALS,,2018-12-10,Buyer
deleted_Quadra Chemicals,2020-08-31,2018-12-10,Buyer
deleted_SETTA VILNIUS,2020-08-31,2018-12-10,Buyer
deleted_test444,2020-08-31,2018-12-10,Buyer
deleted_Walter,2020-08-31,2018-12-10,Buyer
deleted_White Rose Partners,2020-08-31,2018-12-10,Buyer
"deleted_Delete_Adhesivos Gimpex, S.L.",2020-10-19,2018-12-10,Buyer
deleted_Kibo Medical Supplies Cc,2020-08-31,2018-12-17,Buyer
deleted_Hasanchemi,2020-08-31,2018-12-17,Buyer
deleted_Gerencia Y Optimización De Recursos,2020-08-31,2018-12-17,Buyer
deleted_Fedef Srls,2020-08-31,2018-12-17,Buyer
deleted_Alvaro Boo,2020-08-31,2018-12-17,Buyer
Agc Chemcials Europe Ltd,,2018-12-17,Buyer
Helix Squared P.C.,,2018-12-17,Buyer
Kraussmaffei Technologies Gmbh,,2018-12-17,Buyer
"Unicosrom, S.L.",,2018-12-17,Buyer
deleted_Sk University,2020-08-31,2018-12-17,Buyer
deleted_Barraud Patrice,2020-08-31,2018-12-24,Buyer
deleted_Npt,2020-08-31,2018-12-24,Buyer
Hero Fire Gmbh,,2018-12-24,Buyer
Ravago Chemicals Spain Sa,,2018-12-24,Buyer
deleted_1989,2020-08-31,2018-12-31,Buyer
deleted_Ice Trading,2020-08-31,2019-01-07,Buyer
"deleted_Lu. Di. Pack Co., Ltd",2020-08-31,2019-01-07,Buyer
deleted_Sirio Pelli Srl,2020-08-31,2019-01-07,Buyer
Sakata Inx España,,2019-01-07,Buyer
Productos Disiclin S.A.,,2019-01-07,Buyer
deleted_Forum Chemical Industry Fze,2020-08-31,2019-01-07,Buyer
Gdg Srl,,2019-01-07,Buyer
Kemcore,,2019-01-07,Buyer
Mexeo,,2019-01-07,Buyer
Allnex Netherlands B.V.,,2019-01-07,Buyer
Technical Lubricants Int. B.V.,,2019-01-14,Buyer
deleted_Finnsementti Oy,2020-08-31,2019-01-14,Buyer
deleted_Herr,2020-08-31,2019-01-14,Buyer
deleted_Sameca Pq,2021-10-18,2019-01-14,Buyer
Beckers Industrial Coatings Spa,,2019-01-14,Buyer
L. Gobbi S.R.L.,,2019-01-14,Buyer
Novochem Packaging Coatings B.V.,,2019-01-14,Buyer
Sainc Energy Limited,,2019-01-14,Buyer
deleted_Kps Consultants & Impex Private Limited,2020-08-31,2019-01-21,Buyer
deleted_Ajinomoto Omnichem,2020-08-31,2019-01-21,Buyer
deleted_Jpmorgan,2020-08-31,2019-01-21,Buyer
deleted_Virtual Reaction Ltd.,2020-08-31,2019-01-21,Buyer
deleted_Tmm,2020-08-31,2019-01-21,Buyer
deleted_Rose Chemicals,2020-08-31,2019-01-21,Buyer
Raichem SpA,,2019-01-21,Buyer
Plastore Srl,,2019-01-21,Buyer
Nordic Aquafarms,,2019-01-21,Buyer
Kalina Chemicals Pvt Ltd,,2019-01-21,Buyer
Enola Chemical Co.,,2019-01-21,Buyer
Bamipa S.R.O.,,2019-01-21,Buyer
deleted_Promochimie,2020-08-31,2019-01-21,Buyer
deleted_Miller Consulting,2020-08-31,2019-01-21,Buyer
"deleted_Sameca, P.Q.",2021-12-06,2019-01-21,Buyer
deleted_Lubrizol Advanced Materials,2020-08-31,2019-01-21,Buyer
Bamtide Aps,,2019-01-28,Buyer
P1 Coatings,,2019-01-28,Buyer
Swizchem,,2019-01-28,Buyer
deleted_Haik,2020-08-31,2019-01-28,Buyer
deleted_Chem Trading,2020-08-31,2019-01-28,Buyer
deleted_Hanseoung,2020-08-31,2019-01-28,Buyer
deleted_Independent,2020-08-31,2019-01-28,Buyer
deleted_Limited Liability Company «Research And Production «Zorya»,2020-08-31,2019-01-28,Buyer
deleted_Royal Trading & Engineering,2020-08-31,2019-01-28,Buyer
deleted_Sibur,2020-08-31,2019-01-28,Buyer
deleted_Unum Ai Corp,2020-08-31,2019-01-28,Buyer
deleted_Vardan Enterprise,2020-08-31,2019-01-28,Buyer
deleted_Woojin Chemical,2020-08-31,2019-01-28,Buyer
Vci Active Pack Europe,,2019-01-28,Buyer
deleted_Bolton Adhesives,2022-10-31,2019-01-28,Buyer
Youngjae Chemical,,2019-01-28,Buyer
Nyl Laboratories Srl,,2019-01-28,Buyer
Klb Kötztal Lacke + Beschichtungen Gmbh,,2019-01-28,Buyer
Dr. Kurt Wolff Gmbh & Co. Kg,,2019-01-28,Buyer
Datamed Srl,,2019-01-28,Buyer
deleted_Global Green Products Llc,2020-08-31,2019-02-04,Buyer
deleted_Sapient,2020-08-31,2019-02-04,Buyer
deleted_Sap,2020-08-31,2019-02-04,Buyer
deleted_Pambos Charalambous,2020-08-31,2019-02-04,Buyer
deleted_Mm Colorchem Pvt Ltd,2020-08-31,2019-02-04,Buyer
deleted_Lg Household And Healthcare,2020-08-31,2019-02-04,Buyer
deleted_Eurowasa Sas,2020-08-31,2019-02-04,Buyer
deleted_Dietmonger (Uk) Ltd,2020-08-31,2019-02-04,Buyer
deleted_Company,2020-08-31,2019-02-04,Buyer
deleted_Chemondis Gmbh,2020-08-31,2019-02-04,Buyer
deleted_B.K.R Cleaning,2020-08-31,2019-02-04,Buyer
deleted_Avionos,2020-08-31,2019-02-04,Buyer
Bioquote Bv,,2019-02-04,Buyer
East Harbour Group Ltd,,2019-02-04,Buyer
Evonik Performance Materials Gmbh,,2019-02-04,Buyer
Icl Ip Terneuzen,,2019-02-04,Buyer
Inkgenio Srl,,2019-02-04,Buyer
Mare Spa,,2019-02-04,Buyer
Nanochem Srl,,2019-02-04,Buyer
Rtp France Sns,,2019-02-04,Buyer
Scottish Sea Farms,,2019-02-04,Buyer
deleted_Lht-Jaroc,2020-08-31,2019-02-11,Buyer
deleted_Industrias Titan,2020-08-31,2019-02-11,Buyer
deleted_Gebze Plastik,2020-08-31,2019-02-11,Buyer
"deleted_Daemyung Chemical Co., Ltd",2020-08-31,2019-02-11,Buyer
Brenntag GmbH,,2019-02-11,Buyer
Cheese On The Wey Ltd,,2019-02-11,Buyer
Die Raumbegrüner,,2019-02-11,Buyer
Gebr. Lenz Gmbh,,2019-02-11,Buyer
Hutzel Hydrokulturen Gmbh,,2019-02-11,Buyer
Icar,,2019-02-11,Buyer
Novaphos Srl,,2019-02-11,Buyer
"Solar Chemferts Pvt. Ltd.,",,2019-02-11,Buyer
Versatto Uk Llp,,2019-02-11,Buyer
deleted_A-Gas,2020-08-31,2019-02-11,Buyer
deleted_Afford Industrial,2020-08-31,2019-02-11,Buyer
deleted_Vipap Videm Krško,2020-08-31,2019-02-11,Buyer
deleted_Test,2020-08-31,2019-02-11,Buyer
deleted_Rubberchem (Pty) Ltd,2020-08-31,2019-02-11,Buyer
Northumbria Pharma,,2019-02-18,Buyer
Ok Gummiwerk Otto Körting Gmbh,,2019-02-18,Buyer
Sc Cirast Srl,,2019-02-18,Buyer
Scharlab. Sl,,2019-02-18,Buyer
Sti Chemsampler Sp. Z O.O. Sp. K,,2019-02-18,Buyer
Zetc Global Business Gmbh & Co. Kg,,2019-02-18,Buyer
deleted_Vincent Inco,2020-08-31,2019-02-18,Buyer
deleted_Vinavil,2020-08-31,2019-02-18,Buyer
deleted_Rachel,2020-08-31,2019-02-18,Buyer
deleted_Optimous Ltd,2020-08-31,2019-02-18,Buyer
deleted_Nomané Estetiska Kliniken,2020-08-31,2019-02-18,Buyer
deleted_Jz Lekarna Ljubljana,2020-08-31,2019-02-18,Buyer
Delete -,2019-11-04,2019-02-18,Buyer
.Delete,2019-11-04,2019-02-18,Buyer
deleted_Ajc S.L.,2020-08-31,2019-02-18,Buyer
deleted_40,2020-08-31,2019-02-18,Buyer
Dipharma Francis S.R.L.,,2019-02-18,Buyer
Eigenmann & Veronelli,,2019-02-18,Buyer
Golden Chemicals Pvt Ltd,,2019-02-18,Buyer
Ivm Chemicals Srl,,2019-02-18,Buyer
Kemi Spa,,2019-02-18,Buyer
deleted_Mignon Limited,2020-08-31,2019-02-25,Buyer
deleted_Uhb Global Ltd,2020-08-31,2019-02-25,Buyer
Alpas Srl,,2019-02-25,Buyer
Amkor Technology Portugal Sa,,2019-02-25,Buyer
Aolox Gmbh,,2019-02-25,Buyer
Atep - Amkor Technology Portugal S.A.,,2019-02-25,Buyer
Avo Carbon,,2019-02-25,Buyer
Enprom Packaging Sl,,2019-02-25,Buyer
Frescura & C. S.A.S.,,2019-02-25,Buyer
Freudenberg Sealing Technologies Gmbh & Co. Kg,,2019-02-25,Buyer
Geomet S.R.O.,,2019-02-25,Buyer
Industria Jabonera Lina Sau,,2019-02-25,Buyer
Lilachem Ltd,,2019-02-25,Buyer
Mein Gartengemüse Gmbh,,2019-02-25,Buyer
Novachem Aromatici,,2019-02-25,Buyer
Prime Trading Di Ur Rehman Zaman,,2019-02-25,Buyer
Quimidroga S.A.,,2019-02-25,Buyer
"Radka S.R.O., Pardubice",,2019-02-25,Buyer
Sonotecc Oy,,2019-02-25,Buyer
deleted_God'S Firma,2020-08-31,2019-02-25,Buyer
deleted_Sadia Ltd,2020-08-31,2019-02-25,Buyer
deleted_Szíriusz Natural Kft.,2020-08-31,2019-03-04,Buyer
Akzonobel,,2019-03-04,Buyer
Domo Chemicals Gmbh,,2019-03-04,Buyer
Dr.Lauranne Srl,,2019-03-04,Buyer
Emexon International,,2019-03-04,Buyer
Sample Bratislava S.R.O.,,2019-03-04,Buyer
Silo Spa,,2019-03-04,Buyer
deleted_Arnaout,2020-08-31,2019-03-04,Buyer
deleted_Chementors,2020-08-31,2019-03-04,Buyer
deleted_Chez Georges,2020-08-31,2019-03-04,Buyer
deleted_Confoam Llc,2020-08-31,2019-03-04,Buyer
deleted_Havana,2020-08-31,2019-03-04,Buyer
deleted_Mr Paul Wilson,2020-08-31,2019-03-04,Buyer
deleted_Pm & Partner Marketing Consulting Gmbh,2020-08-31,2019-03-04,Buyer
deleted_Royan,2020-08-31,2019-03-04,Buyer
deleted_Sterling Auxiliaries Pvt Ltd,2020-08-31,2019-03-04,Buyer
Innocent International Gmbh,,2019-03-11,Buyer
Pons Quimicas S.L,,2019-03-11,Buyer
Pulcra Chemicals Gmbh,,2019-03-11,Buyer
Radka International S.R.O.,,2019-03-11,Buyer
Spezialfutter,,2019-03-11,Buyer
Tillmanns Spa,,2019-03-11,Buyer
Vicris  Srl,,2019-03-11,Buyer
Delete,2019-11-04,2019-03-11,Buyer
Helio Beit Pigmentpasten Gmbh,,2019-03-11,Buyer
H. Bettermann Waffen Und Zubehör,,2019-03-11,Buyer
Gunbroker.Pl,,2019-03-11,Buyer
"Eco Carburante Y Motor, Sl",,2019-03-11,Buyer
Cotac Europe Gmbh,,2019-03-11,Buyer
Buildingbox Ltd,,2019-03-11,Buyer
Beiermeister Gmbh Hydrokulturen,,2019-03-11,Buyer
Azelis France Sas,,2019-03-11,Buyer
Arlanxeo Deutschland GmbH,,2019-03-11,Buyer
Arco Srl,,2019-03-11,Buyer
Abamed Hansjörg Nowak Gmbh & Co. Kg,,2019-03-11,Buyer
delete Azelis France,2019-11-04,2019-03-11,Buyer
deleted_Zageno,2020-08-31,2019-03-11,Buyer
deleted_Robsons Cheese,2020-08-31,2019-03-11,Buyer
deleted_Noch Nicht Angemeldet,2020-08-31,2019-03-11,Buyer
deleted_Mj Photography,2020-08-31,2019-03-11,Buyer
deleted_John Blue & Co.,2020-08-31,2019-03-11,Buyer
deleted_Fortes Ferreira Lda,2020-08-31,2019-03-11,Buyer
deleted_Ex Enterprise,2020-08-31,2019-03-11,Buyer
deleted_Dampferladen Bad Segeberg,2020-08-31,2019-03-11,Buyer
deleted_Chimical Industry,2020-08-31,2019-03-11,Buyer
deleted_Asd,2020-08-31,2019-03-11,Buyer
Hyamedix Ivs,,2019-03-11,Buyer
Johnson Matthey,,2019-03-11,Buyer
deleted_Valeria Chem,2020-08-31,2019-03-18,Buyer
Orion Corporation,,2019-03-18,Buyer
Allegrini Spa,,2019-03-18,Buyer
Micromix Polska Sp. Z O.O.,,2019-03-18,Buyer
Fabo Handels Gmbh,,2019-03-18,Buyer
Dotes,,2019-03-18,Buyer
"Distribuciones Disolcolor, S.L.",,2019-03-18,Buyer
Cornelius Group Plc,,2019-03-18,Buyer
Stera Chemicals SRL,,2019-03-18,Buyer
Sas Green Oasis,,2019-03-18,Buyer
Cestaro Rossi & C Spa,,2019-03-18,Buyer
Bel Chimica Srl,,2019-03-18,Buyer
Azelis España Sa,,2019-03-18,Buyer
deleted_Oak Europa,2020-08-31,2019-03-25,Buyer
A Plastic 94,,2019-03-25,Buyer
deleted_Kimberlite Chemicals India Private Limited,2020-08-31,2019-03-25,Buyer
deleted_Jas Global Industries,2020-08-31,2019-03-25,Buyer
deleted_Cr,2020-08-31,2019-03-25,Buyer
Battlewood Sprl,,2019-03-25,Buyer
Attratec Gmbh,,2019-03-25,Buyer
deleted_Jorge Manuel Pereira Da Rocha,2020-08-31,2019-03-25,Buyer
Four Eyes Management Ltd,,2019-03-25,Buyer
Vladimir Fiala Fima Brno,,2019-03-25,Buyer
deleted_Andritz Perfojet,2022-04-18,2019-03-25,Buyer
Allegrini S.P.A.,,2019-03-25,Buyer
deleted_Schippers,2020-08-31,2019-03-25,Buyer
deleted_Robert Developments,2020-08-31,2019-03-25,Buyer
"Nicro D,O,O.",,2019-04-01,Buyer
deleted_Barcelonesa De Drogas Y Productos Quimicos,2021-05-17,2019-04-01,Buyer
deleted_Sc Aky'S Zone Srl,2020-08-31,2019-04-01,Buyer
deleted_Pjk International B.V.,2020-08-31,2019-04-01,Buyer
deleted_Pearl Insulation Material Industries Llc Branch,2020-08-31,2019-04-01,Buyer
deleted_Intercom,2020-08-31,2019-04-01,Buyer
deleted_Harley Academy,2020-08-31,2019-04-01,Buyer
deleted_B3Surpluschem,2020-08-31,2019-04-01,Buyer
Baltijos Biotechnologijos,,2019-04-01,Buyer
Belmeca S.A,,2019-04-01,Buyer
Cast Advanced Concretes Ltd T/A Mass Concrete,,2019-04-01,Buyer
Chemcolor Sevnica D.O.O.,,2019-04-01,Buyer
Cosmetics Laboratories Limited,,2019-04-01,Buyer
"Laboratorios Vidaurre, Unipessoal Lda",,2019-04-01,Buyer
Performance Fluids,,2019-04-01,Buyer
University Of Pannonia,,2019-04-01,Buyer
deleted_Portici,2020-08-31,2019-04-08,Buyer
deleted_deleted_上海双花石油化工有限公司,2022-08-01,2019-04-08,Buyer
deleted_deleted_Yongchang Chemical Co. Ltd,2022-08-01,2019-04-08,Buyer
deleted_Aksocol Chemicals Private Limited,2020-08-31,2019-04-08,Buyer
