,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
142,Chimica del Lazio srl,No,No,13,69,10314,2365,5,0.01,0.23,0.6428571428571429,256.5,9.0
143,Castor International B.V.,No,No,74,480,10305,2419,6,0.05,0.23,0.10344827586206896,46.3448275862069,6.0
144,Rozachim JSC,No,No,42,179,10302,2187,4,0.02,0.21,0.6428571428571429,246.42857142857142,9.0
145,CHEMSOLL,No,No,26,77,10289,3624,3,0.01,0.35,0.3888888888888889,196.83333333333334,7.0
146,Mosselman SA,No,No,458,1141,10270,2351,2,0.11,0.22,0.01652892561983471,7.012396694214876,4.0
147,Phoenix Chemicals Trading Sp.z o.o.,No,No,21,0,10076,2131,0,0.0,0.21,0.2857142857142857,122.61904761904762,6.0
148,WTB Rohstoff,No,Yes,98,252,10001,2308,3,0.03,0.23,0.04081632653061224,24.775510204081634,4.0
149,Grafapol,No,No,14,137,9947,2223,10,0.01,0.22,0.5384615384615384,244.53846153846155,7.0
150,Yelken Kimya Ith. Ihr. San. ve Tic. Ltd. Sti.,Yes,No,19,79,9912,2901,4,0.01,0.29,0.3157894736842105,184.1578947368421,6.0
151,ProComm Chemicals Ltd,No,No,13,155,9730,2434,12,0.02,0.25,0.6153846153846154,263.53846153846155,8.0
152,AMBERES CHEMICAL,No,No,24,96,9710,2219,4,0.01,0.23,0.24,101.48,6.0
153,Solberg Industri AS,No,No,17,37,9380,2326,2,0.0,0.25,0.4666666666666667,195.4,7.0
154,Polyment GmbH,No,Yes,141,141,9368,2415,1,0.02,0.26,0.10638297872340426,37.829787234042556,5.0
155,Evolutics International Pvt. Ltd.,No,No,58,16,9311,3302,0,0.0,0.35,0.11320754716981132,56.0188679245283,6.0
156,ZGK GÖKŞİN KİMYA AŞ,No,Yes,19,24,9287,3228,1,0.0,0.35,0.4117647058823529,193.23529411764707,7.0
157,Elchemy (Bizinbiz Technologies Private Limited),No,No,20,5,9259,2339,0,0.0,0.25,0.3,155.25,6.0
158,LabKontor GmbH,No,Yes,330,98,9146,2169,0,0.01,0.23,0.014749262536873156,5.908554572271386,5.0
159,Grüssing GmbH,Yes,No,24,5,9021,2241,0,0.0,0.25,0.2631578947368421,140.26315789473685,5.0
160,Beckmann-Kenko GmbH,No,Yes,232,556,9019,1981,2,0.06,0.22,0.021834061135371178,9.379912663755459,5.0
161,SIMP - Importazione Materie Prime S.p.A.,Yes,No,16,29,8960,1969,2,0.0,0.22,0.5,188.71428571428572,7.0
162,Halogens,No,No,24,43,8948,2541,2,0.0,0.28,0.30434782608695654,134.08695652173913,7.0
163,Jebsen & Jessen Chemicals GmbH,Yes,Yes,18,13,8899,2477,1,0.0,0.28,0.3333333333333333,200.4,5.0
164,Morkim Kimya,Yes,No,12,6,8743,1870,1,0.0,0.21,0.5833333333333334,225.58333333333334,7.0
165,Transmare CHEMIE,No,No,105,37,8731,1872,0,0.0,0.21,0.12195121951219512,54.41463414634146,5.0
166,AS İLERİ GIDA MUHENDISLIK INSAAT SAN. VE TIC. LTD. STI,No,No,54,23,8724,2047,0,0.0,0.23,0.13333333333333333,51.31111111111111,6.0
167,BRENNTAG KIMYA TIC.LTD.ŞTI.,No,No,56,22,8717,1787,0,0.0,0.2,0.1590909090909091,53.31818181818182,7.0
168,LEADCHEM Kimya San.ve Tic. A.Ş.,No,No,14,55,8716,2061,4,0.01,0.24,0.46153846153846156,202.76923076923077,6.0
169,BRC PLUS DIS TICARET VE DANISMANLIK HIZMETLERI LIMITED SIRKETI,Yes,No,24,59,8631,1870,2,0.01,0.22,0.22727272727272727,80.0909090909091,5.0
170,COSMER KİMYA SAN VE TİC A.Ş.,No,No,54,74,8553,1686,1,0.01,0.2,0.13043478260869565,56.630434782608695,6.0
171,"Attilio Carmagnani ""AC""S.p.A.",Yes,No,17,9,8523,1932,1,0.0,0.23,0.5714285714285714,200.57142857142858,8.0
172,Addi-tec Ltd,No,No,59,67,8503,1820,1,0.01,0.21,0.06451612903225806,27.693548387096776,4.0
173,MRV Mineral- und Rohstoffvertrieb GmbH,No,No,11,58,8473,2144,5,0.01,0.25,0.6363636363636364,275.90909090909093,7.0
174,Bodotex A/S,No,No,48,216,8314,2321,5,0.03,0.28,0.1724137931034483,89.6896551724138,5.0
175,Afiva LLC,No,No,11,26,8250,2276,2,0.0,0.28,0.6,292.3,6.0
176,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,No,No,14,21,8200,2042,2,0.0,0.25,0.46153846153846156,188.07692307692307,6.0
177,STERA CHEMICALS SRL,No,No,20,221,8107,2078,11,0.03,0.26,0.3333333333333333,171.26666666666668,5.0
178,Oxea,No,No,18,42,7977,1990,2,0.01,0.25,0.3333333333333333,143.11111111111111,6.0
179,"Greenflow Chemicals, Lda",No,No,11,8,7969,1866,1,0.0,0.23,0.45454545454545453,227.9090909090909,5.0
180,CNI Kft,No,No,16,58,7940,1873,4,0.01,0.24,0.375,158.6875,6.0
181,Latro Kimya,No,No,149,55,7924,1994,0,0.01,0.25,0.03896103896103896,22.415584415584416,3.0
182,Emertle Chemical Solutions,No,No,13,57,7897,1868,4,0.01,0.24,0.3125,120.15625,10.0
183,B.K.M. DANISMANLIK VE SOSYAL HIZMETLER TEKSTIL SANAYI TLS,No,No,19,116,7726,3114,6,0.02,0.4,0.23529411764705882,167.94117647058823,4.0
184,East Harbour Group Ltd,No,No,48,160,7606,1874,3,0.02,0.25,0.1111111111111111,54.125,8.0
185,NEO Chemical,No,No,132,50,7490,1826,0,0.01,0.24,0.020202020202020204,11.929292929292929,2.0
186,Günkem Gündüz Kimyevi Maddeler İthalat Sanayi ve Ticaret A.Ş.,No,Yes,79,379,7354,1314,5,0.05,0.18,0.0851063829787234,26.04255319148936,4.0
