#,company_name,substance_name,cas_number,company_id
5382,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(3-((5-Fluoroethoxy)Phenyl)Amino)Pyrimidin-4-Yl)Amino)Phenyl)Acrylamide     （Avl-292),1202757-89-8,17191
5383,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(3-((5-Fluoroethoxy)Phenyl)Amino)Pyrimidin-4-Yl)Amino)Phenyl)Acrylamide     (Eai-045),1942114-09-1,17191
5384,Cenik Chemicals,(±)-N-[3-acetyl-4-[2-hydroxy-3-[(isopropyl)amino]propoxy]phenyl]butyramide monohydrochloride,34381-68-5,26063
5385,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(3-Chloro-4-Fluorophenyl)-6-Nitro-7-[[(3S)-Tetrahydro-3-Furanyl];4-Quinazolinamine,314771-88-5,17191
5386,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(3-Chloro-4-Fluorophenyl)-7-Fluoro-6-Nitroquinazolin-4-Amine,162012-67-1,17191
5387,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(3-hexadecyloxy-2-hydroxyprop-1-yl)-N-(2-hydroxyethyl)palmitamide,110483-07-3,17191
5388,Cenik Chemicals,N-[3-(Trimethoxysilyl)propyl]butylamine,31024-56-3,26063
5389,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(4-(2-Aminoacetyl)-5-Methoxy-2-Phenoxyphenyl)Methanesulfonamide Hydrochloride,149436-41-9,17191
5390,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-[4-(4-Fluorophenyl)-6-isopropyl-5-[(1E)-3-oxo-1-propenyl]-2-pyriMidinyl]-N-Methyl-MethanesulfonaMide,890028-66-7,17191
5391,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-4-Boc-Aminocyclohexanol,224309-64-2,17191
5392,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(4-Bromophenyl)Morpholine,30483-75-1,17191
5393,Cenik Chemicals,N-(4-Cyanophenyl)Glycine,42288-26-6,26063
5394,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(4-Cyanophenyl)Glycine,42288-26-6,17191
5395,Cenik Chemicals,N-(4-Cyanophenyl)-Glycine,24065-33-6,26063
5396,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N-[5-[4-[(1,1-Dioxido-4-Thiomorpholinyl)Methyl]Phenyl][1,2,4]Triazolo[1,5-A]Pyridin-2-Yl]Cyclopropanecarboxamide",1206161-97-8,17191
5397,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N-(5-Bromo-[1,2,4]Triazolo[1,5-A]Pyridin-2-Yl)Cyclopropanecarboxamide",1142943-96-1,17191
5398,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-(6-Fluoro-2-Methylquinolin-5-Yl)Acetamide,79821-15-1,17191
5399,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N6,N6-Dimethyladenosine",2620-62-4,17191
5400,Cenik Chemicals,"N 700 –  1,8-Diazabicyclo-5,4,0-undecene-7",6674-22-2,26063
5401,Cenik Chemicals,N-Acetoxysuccinimide,14464-29-0,26063
5402,Cenik Chemicals,N-Acetyl-2-Phenylethylamine,877-95-2,26063
5403,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Acetyl-2-Phenylethylamine,877-95-2,17191
5404,Cenik Chemicals,N-Acetylanthranilic Acid,89-52-1,26063
5405,INFINIUM PHARMACHEM LIMITED,N-Acetyl Diiodotyrosine Ethyl Ester,21959-36-4,734
5406,Cenik Chemicals,N-Acetyl-DL-alanine,1115-69-1,26063
5407,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Acetylglycine,543-24-8,17191
5408,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Acetylindole-3-Carboxaldehyde,22948-94-3,17191
5409,Cenik Chemicals,N-Acetyl-L-cysteine,616-91-1,26063
5410,Cenik Chemicals,N-Acetyl-L-methionine,65-82-7,26063
5411,Cenik Chemicals,N-Acetyl-L-Phenylalanine,2018-61-3,26063
5412,Cenik Chemicals,N-Acetylneuraminic Acid,131-48-6,26063
5413,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Acetylneuraminic Acid,131-48-6,17191
5414,Cenik Chemicals,N-Acetyl--TAD,40908-37-0,26063
5415,Cenik Chemicals,N-Acetyl-β-D-Glucosamine,7512-17-6,26063
5416,Cenik Chemicals,Nadide,53-84-9,26063
5417,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Nafamostat Mesylate,82956-11-4,17191
5418,Cenik Chemicals,Nalidixic Acid,389-08-2,26063
5419,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Alloc-1 3-Propanediamine Hydrochloride,1049721-72-3,17191
5420,Cenik Chemicals,(naphthalen-2-yl)boronic acid,32316-92-0,26063
5421,Cenik Chemicals,Naphthalene,91-20-3,26063
5422,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,"Naphtha (petroleum), hydrotreated heavy",64742-48-9,19413
5423,Cenik Chemicals,Natamycin,7681-93-8,26063
5424,Cenik Chemicals,Natriumethylat,141-52-6,26063
5425,Cenik Chemicals,Natrium Selenate,13410-01-0,26063
5426,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-benzoylglycine,495-69-2,17191
5427,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Benzylacrylamide,13304-62-6,17191
5428,Cenik Chemicals,N-Benzylhydroxylamine Hydrochloride,29601-98-7,26063
5429,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Benzylhydroxylamine Hydrochloride,29601-98-7,17191
5430,Cenik Chemicals,N-Benzylmaleimide,1631-26-1,26063
5431,Cenik Chemicals,N-Benzyl-N-Methylethanolamine,101-98-4,26063
5432,Cenik Chemicals,N-(Benzyloxycarbonyloxy) Succinimide,13139-17-8,26063
5433,Cenik Chemicals,N-Benzylphenethylamine,3647-71-0,26063
5434,Cenik Chemicals,"N-Boc-2,5-Dihydro-1H-Pyrrole",73286-70-1,26063
5435,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Boc-3-Azetidine Acetic Acid,183062-96-6,17191
5436,Cenik Chemicals,N-Boc-3-Hydroxypiperidine,85275-45-2,26063
