,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
1136,K. Lasagna,1.31479023708303,-0.44586565094844,-2.42725661601539,-0.522691276944313,-1.65071612412177,-1.5406126618802,-1.94358708099259,-0.0775206783211477,-1.01717147529823,-1.43205278930674,0.17807599070421,-1.04255448886152,1.46927910109175,1.65739683317962,0.03416520239811,-0.204424012294564,-0.724454992731644,0.138953140131169,0.535360332191858,-1.75778967532876,0.487909040324563,0.642204332867502,0,1,1,6,3,3
1137,Y. Karamoh,0.135203063501253,0.713963015509474,-1.08140161571419,-0.17266309945755,-1.34792383387122,-0.982814051426956,-1.12849999598128,1.29073322939974,-0.285989875343593,-0.9347787617864,0.721441554105593,-1.04255448886152,0.62268592242097,0.436113844803908,1.18097816022452,0.0861798184389145,0.0499088700550992,-0.0831382334947316,0.0194312629880329,-1.20576637076501,0.675023668613611,-0.344567783749377,0,6,1,6,1,0
1138,M. De Sciglio,-0.73396643282216,-0.762182559982416,1.18350848146233,0.757182279663382,0.710093870714416,0.502533519402918,0.950513179017124,0.311991949893985,0.821631612286678,1.17704230475483,-1.1076114357285,-1.04255448886152,-1.32140885749649,-0.872317561146062,-0.9756959775515,0.669775889362949,-0.799180091547214,1.12979837455916,0.895507989848599,1.05644705283079,0.137314652976005,-3.12715035903186,1,3,0,5,2,1
1139,A. Younes,1.87354205614808,-0.762182559982416,-0.0514100140366406,1.5118898210181,0.0485657817358213,-1.26202322301917,0.939753113238586,1.73975968084172,-1.39283297204126,-1.10885450030247,0.898352037108113,-1.04255448886152,1.70203615271999,1.52639924631828,1.30850491608994,-0.811013452297281,2.06720453582289,1.36048336481961,-0.694029550362258,0.801458804427558,1.64228400943327,0.844041165219998,2,2,1,0,1,6
1140,R. Sottil,-0.73396643282216,0.819401985187466,-1.69446917869344,1.26754096548902,-0.430735049420331,-0.903862046038401,-0.579612530249182,1.7973111483607,0.879536381328869,-1.28834125001932,1.13979125800535,-0.290250085244397,1.36973660495957,1.44179362712885,2.83862988545937,1.58488400164254,-0.465593397463942,1.72255350228001,1.69240482514428,-0.435872308962581,0.557188016180115,0.379109277130667,2,6,1,1,1,0
1141,J. Schouten,-0.73396643282216,-0.762182559982416,0.339404450633456,-0.143875041427615,0.575834237783808,-0.0572831187194996,0.518951918823437,0.154877047447587,2.19585197779993,1.59017002574179,0.542350438263586,0.691142329024172,-0.635742194457057,-1.41719172070626,-1.8738064959342,-1.08572877610707,-0.145625114723871,-1.24396855317236,-0.771094822841043,-0.173607365623685,-0.0222623004265621,1.09363842863844,3,0,3,3,0,4
1142,G. Caprari,1.31479023708303,-0.762182559982416,-0.992606064003013,0.757182279663382,-0.689087126878578,-0.723598602455525,-0.519158119874191,0.698851063950008,0.702950460928559,-1.09446878227594,0.359448767138628,-0.384686819483342,1.45529955929951,1.08958840614442,1.10418607830772,0.00881009616577111,0.23328981226342,0.676424092246453,0.90602301696056,-0.417052457716071,1.43893717363352,-0.224450236375191,2,6,1,0,1,0
1143,A. Marusic,0.383537205307943,0.186768167119513,-0.896884624277726,0.970755135706963,-0.877311318876421,-0.803431778537581,-0.395099319133617,0.100860734603226,-1.39283297204126,0.190908680368287,-0.827867345223304,-0.578680996021128,-0.124710160032849,0.313991875709997,0.0186488848431051,0.0692550120360439,-0.557119607249558,-0.213785505510281,-0.637642109034392,-0.309378662493611,0.0183632749286039,-0.553050041024757,1,5,3,2,0,4
1144,F. Dimarco,-0.73396643282216,2.29554756067935,1.3739336056471,0.411558408407594,0.715495583436149,1.60043251001923,0.810213009932209,-0.521740250340467,-0.105323415201726,0.670312008256805,-0.69663011858061,0.32812238478307,1.16576766646699,0.891615029643379,0.15567508179514,1.82674564927542,-0.206903795072288,0.263730063831994,0.437273121348009,1.25950190082292,0.944768384126999,0.496325023095707,1,5,0,2,2,2
1145,D. Zappacosta,-0.73396643282216,1.13571889422144,-0.880496683072303,1.42575759958031,0.124115365076419,-0.715795996415077,0.00804691961675452,1.34536433691651,-0.677035729268213,0.319744551969345,-0.462337196140353,-1.04255448886152,-0.35990244749457,0.327944187087372,-1.3338013314383,1.5887282052324,-0.355038010380365,1.07815143751672,0.335483643570007,0.36514404396554,0.195215791537885,-0.93417526832269,2,3,1,1,1,0
