,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
68,K. Piatek,1.563124379,0.186768167,-1.952773049,0.167276466,-1.293727958,-0.991791642,-1.420245374,-0.30745534,-0.984887233,-1.28834125,1.241217927,-0.578680996,1.212556694,1.094289528,0.850176801,-0.879568844,-0.333415322,-1.06971808,-0.79071019,-1.549529701,-0.321616745,1.613968866,1,2,1,1,3,1
69,R. Baku,-0.485632291,0.397646106,0.179752708,0.060246907,0.129920923,0.928232175,-0.195929261,0.589260496,0.114385579,0.813692991,0.115607024,0.158572753,-0.191613408,-0.542058181,0.613424283,1.294556423,0.472268684,-0.351262983,0.486762602,-0.088012983,0.658446153,-0.013094478,3,4,0,0,0,6
70,D. Kamada,-0.175214614,1.030279925,-0.34197736,0.138203136,-0.51317026,-0.803431779,-0.296614131,0.915039505,0.36589329,-0.643343894,0.472282298,-0.831438968,0.943630227,1.03227431,0.801760405,-0.0445652,0.95521827,0.402194676,0.105516263,-0.423677077,0.756681204,0.079441828,2,3,1,7,1,5
71,J. Córdoba,2.742711552,-0.340426681,-2.661790522,-0.374989969,-1.344873798,-1.924772688,-1.772708095,0.271759369,-0.233439032,-1.481873329,2.018075158,-0.831438968,1.303582288,1.320178716,1.957430672,-0.631183966,-0.580451616,-0.496324415,-0.305540815,-2.190796351,-0.233272384,1.915424358,1,2,1,1,3,1
72,B. Embolo,1.997709127,2.190108591,-1.331052997,-0.383971461,-1.1013905,-1.589219992,-1.109735161,1.548244305,-0.504218438,-1.507164893,2.257398808,-0.480810013,1.325829167,1.357464764,1.700432512,-0.936239379,1.679903589,0.588153385,0.374106275,-1.502958504,1.263934026,1.927027408,1,2,1,1,3,1
73,J. Hofmann,0.880205489,0.924840955,0.152005226,1.316059802,0.069592981,0.205025619,0.402892483,-0.30745534,-1.392832972,0.216373775,-0.404392845,-0.529523067,0.254283661,0.369212947,0.125724822,-0.118131602,0.268637346,-0.30043589,0.216182086,0.421597908,0.756681204,-1.176382993,2,6,3,3,1,5
74,P. Max,0.818121953,1.241157864,0.270796302,0.03752252,-0.394539221,1.073834799,-0.580616139,-1.012074951,1.138085241,-0.236440657,-1.862871526,-0.578680996,-0.008626826,-0.735840047,-1.018340702,1.071535609,0.01182468,-0.094750704,0.594901404,-0.224721134,0.540004532,-1.737790384,3,4,0,2,0,4
75,J. Mateta,0.756038418,0.081329197,-2.083796507,-0.321764384,-2.18624956,-2.014918648,-1.957646298,0.07574419,-0.504218438,-1.813473448,0.926790805,-0.243645848,1.490102657,1.545127245,-0.871491748,-0.71898584,0.355197325,-1.190470705,-0.870630142,-2.166964103,-0.458746162,-0.910733695,1,2,1,1,3,1
76,S. Serdar,1.563124379,-0.76218256,-0.266391815,-0.590142467,-0.695667723,-0.771096521,-0.539802099,0.880284933,-0.080238513,0.544134959,1.267171077,0.651994842,0.952220051,-0.037943441,1.059468281,-1.481641438,1.233992341,-0.14172017,0.766022275,-0.970733467,0.344815635,0.642204333,1,3,1,7,3,1
77,D. Lukebakio,1.128539631,1.452035803,-1.521060258,0.314629951,-0.531289544,-1.00081168,-0.805455639,0.880284933,-0.921174617,-0.955032653,0.517476719,-0.197441652,0.642180878,0.762423142,0.140734778,0.480653513,0.268637346,0.373131173,0.630005167,-0.737249137,1.049717638,-0.107798106,2,3,1,7,1,5
