,Date,Time,Open,High,Low,Last,ATR,FractalSell,FractalWk,OpenTrade,StopLoss,TakeProfit,Close Trade,OpenTradeNew,StoplossNew,TakeProfitNew,CloseTradeNew
62, '2009/2/9', '00:00:00.0',1.47856,1.49859,1.41377,1.43533,0.07757,0.0,1.34743,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
63, '2009/2/16', '00:00:00.0',1.42119,1.44844,1.40939,1.44337,0.07801,0.0,1.34743,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
64, '2009/2/23', '00:00:00.0',1.44002,1.46615,1.41109,1.43159,0.07904,0.0,1.34743,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
65, '2009/3/2', '00:00:00.0',1.42931,1.43056,1.39579,1.40938,0.07818,0.0,1.34743,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
66, '2009/3/9', '00:00:00.0',1.41323,1.41824,1.36554,1.40018,0.07746,1.36449,1.36449,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
67, '2009/3/16', '00:00:00.0',1.39624,1.45967,1.38443,1.44649,0.07901,0.0,1.36449,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
68, '2009/3/23', '00:00:00.0',1.44702,1.47786,1.42679,1.43197,0.07932,0.0,1.36449,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
69, '2009/3/30', '00:00:00.0',1.42586,1.48468,1.41102,1.48412,0.07954,0.0,1.36449,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
70, '2009/4/6', '00:00:00.0',1.4834,1.49586,1.45818,1.46733,0.07903,0.0,1.36449,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
71, '2009/4/13', '00:00:00.0',1.46385,1.50694,1.46051,1.47964,0.07841,0.0,1.36449,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
72, '2009/4/20', '00:00:00.0',1.48009,1.48145,1.43976,1.46739,0.07844,1.43893,1.43893,1.44729,1.36449,1.64701,0.0,1.44729,1.36449,1.64701,0.0
73, '2009/4/27', '00:00:00.0',1.4671,1.49484,1.45152,1.49188,0.07691,0.0,1.43893,1.44729,1.43893,1.64701,0.0,1.44729,1.43893,1.64701,0.0
74, '2009/5/4', '00:00:00.0',1.49094,1.52479,1.48347,1.52314,0.0752,0.0,1.43893,1.44729,1.43893,1.64701,0.0,1.44729,1.43893,1.64701,0.0
75, '2009/5/11', '00:00:00.0',1.52324,1.53527,1.50604,1.51789,0.07383,0.0,1.43893,1.44729,1.43893,1.64701,0.0,1.44729,1.43893,1.64701,0.0
76, '2009/5/18', '00:00:00.0',1.51614,1.59443,1.51168,1.593,0.06907,0.0,1.43893,1.44729,1.43893,1.64701,0.0,1.44729,1.43893,1.64701,0.0
77, '2009/5/25', '00:00:00.0',1.59119,1.61994,1.57779,1.61896,0.06584,0.0,1.43893,1.44729,1.43893,1.64701,0.0,1.44729,1.43893,1.64701,0.0
78, '2009/6/1', '00:00:00.0',1.61955,1.66638,1.59411,1.59805,0.06536,0.0,1.43893,1.44729,1.43893,1.64701,0.19972000000000012,1.44729,1.43893,1.64701,0.19972000000000012
79, '2009/6/8', '00:00:00.0',1.59805,1.66228,1.58018,1.64471,0.06368,0.0,1.43893,1.59805,1.43893,1.9162899999999998,0.0,1.59805,1.43893,1.9162899999999998,0.0
