Timestamp,Gender,Location,Age,Qualification,field_of_study,Purpose_for_chilla,Experience,Age1,What are you?,Latitude,Longitude,Blood group ,Network,Prepaid or Postpaid,System,Weight,Height,Glasses,First line of code,Programming language,Marital Status,Coding Hours,Vaccinated,Load shedding,Area
1/4/22 18:08,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,24.6,Employed,33.03763241,70.98727676,B+,Zong,Prepaid,Apna Laptop,56.61,176.7,No,In this chilla,Python,No,3,Yes,16,Rural
1/4/22 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,0.2,24.3,Unemplyed,33.626057,73.071442,AB+,U-fone,Prepaid,Apna Laptop,93.5,177.5,No,<3 years ago,Python,No,2,Yes,2,Urbun
1/4/22 18:06,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,24.1,Student,"33.671145669433194, ",72.98702933,AB+,Mobilink,Prepaid,Apna Laptop,65.8,178,Yes,>3 years ago,Python,No,1,No,0,Rural
1/4/22 18:41,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,24,Unemplyed,1,2,A+,Zong,Prepaid,Apna Laptop,60,175,Yes,In this chilla,Python,No,2,Yes,0,Urbun
1/4/22 18:05,Female,Pakistan,21-25,Masters,Biology,to boost my skill set,1.5,24,Student,14.6,10.3,AB+,Mobilink,Prepaid,Apna Laptop,42.6,40.3,Yes,In this chilla,Python,No,5,Yes,5,Urbun
1/4/22 18:05,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,3,24,Employed,17.38714,78.491684,O+,Mobilink,Prepaid,Apna Laptop,48,152.4,Yes,In this chilla,Python,No,4,Yes,12,Urbun
1/4/22 18:08,Male,Pakistan,21-25,Bachelors,Biology,Switch my field of study,1,24,Employed,24.860966,66.990501,B+,Mobilink,Prepaid,Desktop,100,155.75,No,In this chilla,Python,No,3,Yes,0,Urbun
1/4/22 18:08,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,1,24,Employed,24.964,67.0591,O+,U-fone,Prepaid,Apna Laptop,68,173.7,Yes,In this chilla,Python,No,3,Yes,3,Urbun
1/4/22 18:05,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,24,Unemplyed,25.3924,68.3737,AB+,U-fone,Prepaid,Apna Laptop,43,152.4,No,In this chilla,Python,No,3,Yes,8,Urbun
1/4/22 18:06,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,0,24,Student,30.37532,69.345116,A+,Zong,Prepaid,Apna Laptop,65,170.18,No,In this chilla,Python,No,2,Yes,1,Urbun
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,1,24,Student,31.579646,74.354349,B+,U-fone,Prepaid,Apna Laptop,60.5,179.832,No,In this chilla,Python,No,2,Yes,0,Rural
1/4/22 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,0,24,Student,32.9328,72.863,B+,Zong,Prepaid,Apna Laptop,83.5,172.72,No,>3 years ago,Python,No,3,Yes,2,Rural
1/4/22 18:07,Male,Pakistan,21-25,Pre-Bachelors,Software Eng.,to boost my skill set,0,24,Student,32.9328,72.863,A+,Telenor,Prepaid,Apna Laptop,50,170,Yes,<3 years ago,Python,No,5,Yes,5,Rural
1/4/22 18:03,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,2,24,Employed,33.595467,73.021413,A+,U-fone,Prepaid,Apna Laptop,88.2,185,No,>3 years ago,Python,No,4,Yes,2,Urbun
1/4/22 18:06,Male,Pakistan,21-25,Bachelors,Natural Sciences,to boost my skill set,1,24,Student,33.6844,73.0479,B+,Zong,Postpaid,Apna Laptop,52,162.5,Yes,>3 years ago,Python,No,3,Yes,0,Urbun
1/4/22 18:09,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,24,Student,33.9963,71.5624,B+,U-fone,Prepaid,Apna Laptop,56,160,No,In this chilla,Python,Yes,3,Yes,0,Urbun
1/4/22 18:21,Male,Pakistan,26-30,Bachelors,Enginnering,Abhi tak pata nahi,0,24,Student,34.259,71.56,A+,Telenor,Prepaid,Apna Laptop,54,139.5,No,In this chilla,Python,No,3,Yes,0,Urbun
1/4/22 18:10,Male,Pakistan,21-25,Bachelors,Natural Sciences,to boost my skill set,3,24,Employed,34.6133707,74.943059,AB+,Telenor,Prepaid,Apna Laptop,65,160.4,No,In this chilla,Python,No,3,Yes,2,Rural
1/4/22 18:11,Female,West,21-25,Bachelors,Natural Sciences,Switch my field of study,0,24,Student,38.734802,35.467987,O+,International,Prepaid,Apna Laptop,55,170.18,No,In this chilla,Python,No,4,Yes,0,International
1/4/22 18:03,Male,West,21-25,Bachelors,Natural Sciences,to boost my skill set,0.5,24,Student,63.446827,10.421906,B+,Mobilink,Prepaid,Apna Laptop,84,183,No,<3 years ago,Python,No,3,No,0,International
1/4/22 18:06,Male,Pakistan,21-25,Masters,Biology,to boost my skill set,2,24,Unemplyed,35.072796,72.4271291,B+,Telenor,Prepaid,Apna Laptop,54,5.6,Yes,In this chilla,Python,No,1,Yes,3,Urbun
1/4/22 18:04,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,23.99,Unemplyed,31.7292,72.9822,O+,U-fone,Prepaid,Apna Laptop,57.5,162.8,Yes,>3 years ago,C++,No,8,Yes,4,Urbun
1/4/22 18:06,Male,Pakistan,21-25,Masters,CS/IT,to boost my skill set,2,23.5,Employed,34.015137,71.524918,A+,Mobilink,Prepaid,Apna Laptop,94.5,6.1,No,>3 years ago,Python,No,5,Yes,0,Urbun
1/4/22 18:09,Male,Pakistan,21-25,Bachelors,Statistics,to boost my skill set,0,23.4,Student,53.2734,-7.77832031,A+,Zong,Prepaid,Apna Laptop,59.5,179.832,No,In this chilla,Python,No,4,Yes,1,Rural
1/4/22 18:07,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,23,Student,5.4,4.6,B+,Mobilink,Prepaid,Apna Laptop,59.5,14.224,Yes,<3 years ago,Python,No,2,Yes,0,Urbun
1/4/22 18:04,Male,Pakistan,21-25,Masters,Mathematics,Abhi tak pata nahi,0,23,Employed,22.3,22.56,A-,Telenor,Prepaid,Kisi ka laptop,67,155,No,<3 years ago,C++,No,2,Yes,1,Rural
1/4/22 18:06,Female,Pakistan,21-25,Bachelors,Natural Sciences,to boost my skill set,0,23,Unemplyed,24.95,67.002068,A+,Telenor,Prepaid,Apna Laptop,62,173.736,No,In this chilla,Python,No,8,No,6,Urbun
1/4/22 18:05,Female,Pakistan,21-25,Bachelors,Software Eng.,to boost my skill set,0,23,Unemplyed,29.418068,71.670685,AB+,Telenor,Prepaid,Apna Laptop,41.2,12.446,No,>3 years ago,Python,No,2,Yes,2,Rural
1/4/22 18:09,Female,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,1,23,Unemplyed,30.533159,79.468788,AB+,Zong,Prepaid,Apna Laptop,50,1524,No,>3 years ago,Python,No,4,Yes,6,Urbun
