#,product_name,company_name,substance_name,cas_number,company_id
114,"1,18-octadecanediol","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,18-Octadecanediol",3155-43-9,17191
115,1-(1-Adamantyl)ethylamine hydrochloride,Chemical Point Italia s.r.l,1-(1-Adamantyl)Ethylamine Hydrochloride,1501-84-4,55523
116,11-Aminoundecanoic acid,Chemical Point Italia s.r.l,11-Aminoundecanoic Acid,2432-99-7,55523
117,"1,1'-Azobis-(cyclohexanecarbonitrile)",Chemical Point Italia s.r.l,"1,1'-azobis(1-cyclohexanecarbonitrile)",2094-98-6,55523
118,"1,1'-Azobis(N,N-dimethylformamide)",Chemical Point Italia s.r.l,Diamide,10465-78-8,55523
119,"1,1'-(Azodicarbonyl)dipiperidine",Chemical Point Italia s.r.l,(NE)-N-(Piperidine-1-carbonylimino)piperidine-1-carboxamide,10465-81-3,55523
120,"1,1-Bi-2-Naphthol",Cenik Chemicals,"1,1'-Bi-2-naphthol",602-09-5,26063
121,"(+/-)-1,1'-Bi-2-Naphthyl bis(trifluoromethanesulfo",Chemical Point Italia s.r.l,"1,1'-Bi-2-naphthol bis(trifluoromethanesulfonate)",128575-34-8,55523
122,"1,1-Bis(3,4-dimethylphenyl)ethane",Chemical Point Italia s.r.l,"1,1-Bis-(3,4-Dimethylphenyl)Ethane",1742-14-9,55523
123,"1,1-Bis(chloromethyl)-2,2-dibromocyclopropane",Cenik Chemicals,"1,1-Dibromo-2,2-bis(chloromethyl)cyclopropane",98577-44-7,26063
124,"1,1´-Bis(dimethylsilyl)ferrocene",Chemical Point Italia s.r.l,"1,1'-Bis(dimethylsilyl)ferrocene",1295-15-4,55523
125,"1,1'-Bis(diphenylphosphino)ferrocene",Chemical Point Italia s.r.l,"1,1'-Bis(diphenylphosphino)ferrocene",12150-46-8,55523
126,"[1,1'-Bis(Diphenylphosphino)Ferrocene]Dichloropalladium (II)",Cenik Chemicals,"[1,1'-Bis(diphenylphosphino)ferrocene]palladium(II) Chloride Dichloromethane Complex",95464-05-4,26063
127,"1,1-Bis(hydroxymethyl)cyclopropane","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1-Bis(Hydroxymethyl)Cyclopropane",39590-81-3,17191
128,"1,1-Bis(methylthio)-2-nitroethylene",Chemical Point Italia s.r.l,"1,1-bis(methylthio)-2-nitroethylene",13623-94-4,55523
129,"1,1-Bis(tert-amylperoxy)cyclohexane solution",Chemical Point Italia s.r.l,Cyclohexylidenebis[tert-amyl] peroxide,15667-10-4,55523
130,11-Bromo-1-undecanol,Chemical Point Italia s.r.l,11-Bromoundecanol,1611-56-9,55523
131,11-Bromo-1-undecanol,"Zhejiang ZETian Fine Chemicals Co.,Ltd",11-Bromoundecanol,1611-56-9,17191
132,11-Bromoundecanoic acid,Chemical Point Italia s.r.l,11-Bromoundecanoic Acid,2834-05-1,55523
133,11-Bromoundecanoic Acid,"Zhejiang ZETian Fine Chemicals Co.,Ltd",11-Bromoundecanoic Acid,2834-05-1,17191
134,"1,1´-Carbonylbis(2-methylimidazole)",Chemical Point Italia s.r.l,"1,1'-Carbonylbis(2-methylimidazole)",13551-83-2,55523
135,"1,1'-Carbonyldi(1H-imidazole)",Cenik Chemicals,Carbonyldiimidazole,530-62-1,26063
136,"1,1-Cyclobutanedicarboxylic acid","Zhejiang ZETian Fine Chemicals Co.,Ltd","Cyclobutane-1,1-dicarboxylic Acid",5445-51-2,17191
137,"1,1-Cyclobutanedicarboxylic Acid",Cenik Chemicals,"Cyclobutane-1,1-dicarboxylic Acid",5445-51-2,26063
138,"1,1-Cyclohexanediacetic acid",Chemical Point Italia s.r.l,Cyclohexanediacetic Acid,4355-11-7,55523
139,"1,1-Cyclohexanediacetic anhydride",Chemical Point Italia s.r.l,"1,1-Cyclohexanediacetic Anhydride",1010-26-0,55523
140,"1,1´-Cyclopentylidenebis-1H-pyrazole",Chemical Point Italia s.r.l,"1,1'-Cyclopentylidenebis-1H-pyrazole",28791-87-9,55523
141,"1,1-Cyclopropane dicarboxylic Acid",Cenik Chemicals,"1,1-Cyclopropanedicarboxylic Acid",598-10-7,26063
142,"1,1´-Diacetylferrocene",Chemical Point Italia s.r.l,"1,1'-Diacetylferrocene",1273-94-5,55523
143,"1,1´-Dibenzoylferrocene",Chemical Point Italia s.r.l,"1,1'-dibenzoylferrocene",12180-80-2,55523
144,"1,1′-Dibromoferrocene",Chemical Point Italia s.r.l,"1,1'-Dibromoferrocene",1293-65-8,55523
145,"1,1-Dibromotetrafluoroethane",Chemical Point Italia s.r.l,"1,1-dibromo-1,2,2,2-tetrafluoroethane",27336-23-8,55523
